Step	Value
19	0.00236148945987225
48	0.000568530929740518
63	0.000301510095596313
64	0.000323319283779711
90	0.000144349673064426
104	0.000142691656947136
108	0.000122834404464811
129	0.000106899708043784
165	0.000155765170347877
173	5.88362527196296E-05
192	7.26416037650779E-05
204	4.67647041659802E-05
245	3.91465073334984E-05
260	3.49347610608675E-05
283	4.07809639000334E-05
286	4.50397710665129E-05
320	0.0000413817288063001
367	4.54519031336531E-05
387	2.30453842959832E-05
403	2.82692108157789E-05
416	2.5351653675898E-05
438	2.95701574941631E-05
466	3.03912565868813E-05
476	2.1531534002861E-05
482	2.75460006378125E-05
511	2.29764464165783E-05
534	2.88349110633135E-05
539	2.97339829558041E-05
541	1.87506702786777E-05
557	2.36241248785518E-05
563	1.87373861990636E-05
597	2.09860645554727E-05
638	2.18207969737705E-05
644	1.73923726833891E-05
645	3.07337249978445E-05
659	2.08775163628161E-05
676	1.95242791960482E-05
722	2.87935454252874E-05
765	1.92167062778026E-05
776	1.72145246324362E-05
805	1.83355623448733E-05
858	1.9621988030849E-05
867	1.60417112056166E-05
887	2.00899230549112E-05
943	1.38106061058352E-05
1000	1.48195322253741E-05
1016	1.25637225210085E-05
1027	1.75586737896083E-05
1038	1.13615560621838E-05
1057	1.54359986481722E-05
1072	1.60217259690398E-05
1110	1.28171377582476E-05
1112	1.22084111353615E-05
1126	1.32470195239875E-05
1133	1.06325733213453E-05
1152	1.11691842903383E-05
1153	8.98918005987071E-06
1165	8.63309469423257E-06
1175	9.74715749180177E-06
1177	8.7906992121134E-06
1185	1.10988512460608E-05
1219	1.06658244476421E-05
1253	9.8676237030304E-06
1255	1.18438038043678E-05
1258	8.98672715266002E-06
1262	7.6578126027016E-06
1268	1.06056904769503E-05
1272	9.20989077712875E-06
1326	9.90773150988389E-06
1346	1.08215663203737E-05
1376	8.48616400617175E-06
1377	8.3703553173109E-06
1418	8.37327206681948E-06
1458	8.65104993863497E-06
1459	7.16800423106179E-06
1495	9.38137418415863E-06
1511	9.119732567342E-06
1514	8.99280257726787E-06
1549	9.28172994463239E-06
1552	9.61070509220008E-06
1566	8.76459671417251E-06
1569	1.00312554422999E-05
1586	1.17172148748068E-05
1597	8.61883927427698E-06
1628	1.01975565485191E-05
1636	7.96854328655172E-06
1671	7.31106501916656E-06
1686	7.77093555370811E-06
1703	6.16042962064967E-06
1705	9.89215186564252E-06
1712	1.10464416138711E-05
1778	6.91782952344511E-06
1848	5.64103675060323E-06
1861	7.66676384955645E-06
1868	5.26280564372428E-06
1900	6.68465645503602E-06
1903	6.81514575262554E-06
1910	8.59137071529403E-06
1941	8.71988777362276E-06
1961	7.51247489461093E-06
1962	6.89777107254486E-06
1980	6.56305928714573E-06
2071	6.86744442646159E-06
2080	8.03923740022583E-06
2090	6.19083903075079E-06
2101	7.23679568181979E-06
2210	6.08055779593997E-06
2240	6.05381046625553E-06
2320	5.12212227476994E-06
2360	5.46102819498628E-06
2395	4.82714858662803E-06
2437	5.90206354900147E-06
2442	4.45680279881344E-06
2455	6.65810512145981E-06
2463	5.00365786137991E-06
2466	6.76716626912821E-06
2486	5.62705190532142E-06
2504	4.42151758761611E-06
2518	4.03410831495421E-06
2531	5.3779331210535E-06
2578	4.68975213152589E-06
2579	5.30915349372663E-06
2600	4.26935639552539E-06
2628	5.7560073400964E-06
2636	6.20570335740922E-06
2644	5.99422492086887E-06
2685	4.2871597543126E-06
2694	3.92331548937364E-06
2709	4.85441250930307E-06
2718	5.65050140721723E-06
2735	4.42678538092878E-06
2741	4.56394900538726E-06
2754	4.61478339275345E-06
2755	5.26438361703185E-06
2756	4.33197692473186E-06
2766	5.62397326575592E-06
2769	3.73471266357228E-06
2786	4.23384062742116E-06
2813	4.639944563678E-06
2835	3.31713636114728E-06
2845	4.52764015790308E-06
2862	4.4554994929058E-06
2922	4.80707058159169E-06
2953	7.65687127568526E-06
2956	5.76321235712385E-06
2963	5.36964489583625E-06
2974	5.02823422721121E-06
3035	4.20280366597581E-06
3084	4.62246271126787E-06
3085	3.80416622647317E-06
3104	3.66216409020126E-06
3105	4.92144863528665E-06
3106	3.59936893801205E-06
3121	4.35370839113602E-06
3146	4.41762858827133E-06
3174	4.13591487813392E-06
3193	3.35468939738348E-06
3200	3.98948486690642E-06
3218	4.70865097668138E-06
3221	3.24753523273102E-06
3242	4.64150389234419E-06
3266	4.8404190238216E-06
3269	3.82278403776581E-06
3307	4.04719457947067E-06
3357	3.04718423649319E-06
3405	3.67125608136121E-06
3462	3.55695920006838E-06
3484	3.01632644550409E-06
3485	3.06688161799684E-06
3492	2.9398452170426E-06
3501	3.42249541063211E-06
3527	3.02494004245091E-06
3567	3.54653684553341E-06
3570	3.7502140912693E-06
3601	3.22697724186582E-06
3617	3.26151962326549E-06
3655	3.3735138913471E-06
3658	3.10514656121086E-06
3662	3.34052265316132E-06
3665	3.09544657284277E-06
3669	2.70298869509133E-06
3672	3.2549121442571E-06
3691	2.80875201497111E-06
3713	3.16826981361373E-06
3762	3.9419460335921E-06
3783	3.51830567524303E-06
3849	4.45715795649448E-06
3851	2.9735233511019E-06
3870	3.90304467146052E-06
3903	2.20341098611243E-06
3912	2.80152539744449E-06
3916	2.84607517642144E-06
3922	2.96280882139399E-06
3934	3.02311718769488E-06
3937	3.24856932820694E-06
3976	2.83499321085401E-06
4013	2.85903843177948E-06
4015	3.11202597913507E-06
4024	2.93444600174553E-06
4035	2.88832916339743E-06
4041	2.97858105113846E-06
4048	3.32785566570237E-06
4085	3.3959931897698E-06
4110	3.85998828278389E-06
4116	2.91801438834227E-06
4122	2.50086350206402E-06
4125	3.3665501177893E-06
4147	3.8180851333891E-06
4182	3.75312811229378E-06
4193	3.38581139658345E-06
