Step	Value
1224	2.08769583702087
2448	1.82533800601959
3672	1.92229461669922
4896	1.98023521900177
6120	1.8748162984848
7344	2.06839323043823
8568	2.12303686141968
9792	2.21269512176514
11016	2.45463085174561
12240	2.5854218006134
13464	2.65661644935608
14688	2.74304056167603
15912	2.73000121116638
17136	2.78314661979675
18360	2.80823588371277
19584	2.78310060501099
20808	2.72488713264465
22032	2.76680827140808
23256	2.89680242538452
24480	2.94181275367737
25704	3.07419443130493
26928	3.18771362304687
28152	3.10080575942993
29376	3.07806587219238
30600	3.01903772354126
31824	2.92886447906494
33048	2.79751777648926
34272	2.85510277748108
35496	2.95930504798889
36720	2.97824883460999
37944	3.05063509941101
39168	2.97837543487549
40392	2.93199276924133
41616	2.82599663734436
42840	2.78034615516663
44064	2.79328942298889
45288	2.7644362449646
46512	2.73199462890625
47736	2.80427193641663
48960	2.69163632392883
50184	2.60626649856567
51408	2.61059641838074
52632	2.82122182846069
53856	3.0013382434845
55080	3.04001760482788
56304	3.03801369667053
57528	2.78041362762451
58752	2.61612987518311
59976	2.64834904670715
61200	2.68210673332214
62424	2.85912322998047
63648	2.90491890907288
64872	2.92073750495911
66096	2.93868494033813
67320	2.76803398132324
68544	2.78488993644714
69768	2.78229713439941
70992	2.79279732704163
72216	3.17338848114014
73440	3.36666893959045
74664	3.50626063346863
75888	3.52945637702942
77112	3.24545383453369
78336	2.97465705871582
79560	2.65581059455872
80784	2.61196112632751
82008	2.63344645500183
83232	2.64735102653503
84456	2.87243008613586
85680	2.94837617874146
86904	2.93635749816895
88128	2.93234705924988
89352	2.84675741195679
90576	2.80571603775024
91800	2.81020045280457
93024	2.87595844268799
94248	2.91292667388916
95472	3.22917866706848
96696	3.59557461738586
97920	3.94498443603516
99144	4.2536506652832
